rel_time_sec,timestamp_sec,ground_truth_x_m,ground_truth_y_m,estimated_x_m,estimated_y_m,gnss_x_m,gnss_y_m,speed_kmh,position_error_m,uncertainty_m,gnss_status
0.0,33029.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33,0.0,2.8284271247461903,AVAILABLE
0.09999999999854481,33029.1,-0.6315895023081424,0.7013127922835075,-0.6188350554536883,0.7185133799748505,-0.6315895023081424,0.7013127922835075,34.25,0.021413456785177722,2.2105677345304353,AVAILABLE
0.19999999999708962,33029.2,-1.2428051497357104,1.4137575329854588,-1.2360521447970474,1.4331627858082077,-1.2428051497357104,1.4137575329854588,34.14,0.020546700776923037,1.8777852715346475,AVAILABLE
0.3000000000029104,33029.3,-1.8743946520740122,2.1039383768505227,-1.8626254035413037,2.14199445666639,-1.8743946520740122,2.1039383768505227,34.27,0.03983441253459536,1.6651426494604853,AVAILABLE
0.4000000000014552,33029.4,-2.492401584461772,2.8052511683430574,-2.494673251635819,2.8486643359829253,-2.492401584461772,2.8052511683430574,34.4,0.0434725614184041,1.5173956300296072,AVAILABLE
0.5,33029.5,-3.10361723187426,3.5065639598355927,-3.130169149706,3.5497854961402573,-3.10361723187426,3.5065639598355927,34.39,0.050725787732463175,1.410274440437242,AVAILABLE
0.5999999999985448,33029.6,-3.708041594326557,4.219008701328517,-3.768273613923163,4.245878022901891,-3.708041594326557,4.219008701328517,34.33,0.06595344287070513,1.3311588202582454,AVAILABLE
0.6999999999970896,33029.7,-4.366796236535784,4.864661747564942,-4.419258149624057,4.9294128261474315,-4.366796236535784,4.864661747564942,34.38,0.08333639362533787,1.2726953926547504,AVAILABLE
0.8000000000029104,33029.8,-4.978011883948272,5.565974540639422,-5.0787880521637145,5.61200282556468,-4.978011883948272,5.565974540639422,34.61,0.11079006766559835,1.2301724576951323,AVAILABLE
0.9000000000014552,33029.9,-5.6367665261876585,6.189363688457015,-5.750461138023335,6.2801895855035665,-5.6367665261876585,6.189363688457015,34.66,0.14551909955320577,1.1998365199539642,AVAILABLE
1.0,33030.0,-6.268356028510881,6.8906764799495495,-6.426486083666629,6.943092768776983,-6.268356028510881,6.8906764799495495,34.61,0.16659106121878475,1.1786789805061142,AVAILABLE
1.0999999999985448,33030.1,-6.961067095566304,7.491801730139282,-7.114331701238666,7.587567934899454,-6.961067095566304,7.491801730139282,34.5,0.18072411384779782,1.1642061146345097,AVAILABLE
1.1999999999970896,33030.2,-7.6673607325873485,8.137454777166681,-7.818286543858067,8.226017040569475,-7.6673607325873485,8.137454777166681,34.72,0.17499107122007782,1.1549265683870018,AVAILABLE
1.3000000000029104,33030.3,-8.373654369608394,8.749711976565829,-8.542520690658995,8.861571884482604,-8.373654369608394,8.749711976565829,35.24,0.20255486512131485,1.1497049705752747,AVAILABLE
